ID,P17,P45,P73,P84,P100,P112,P5,P10,P39,P107,P3,P15,P48,P75,P101,P24,P42,P76,P99
G0_1PL_2_16,119119,193196,282282,301301,358360,385385,000000,000000,177177,369369,090092,121127,201201,266268,367367,145148,194194,275288,341358
G0_1PL_2_2,119119,193196,279282,301301,352358,385385,073079,000000,177177,369372,092092,127127,201201,266268,360367,148148,194194,288288,358358
G0_1PL_2_3,119119,193196,279279,301301,358358,385385,082082,108111,177177,372372,092092,127127,201201,266268,367367,148148,194194,288288,341358
G0_1PL_2_4,119119,193196,279279,299301,352358,385385,073079,000000,177177,372372,090092,127127,201201,268268,360367,148148,192194,275275,341358
G0_1PL_2_5,119119,196196,282282,301301,358360,385385,073079,000000,177177,369372,090092,121127,201201,266268,360360,148148,194194,275275,341341
G0_1PL_2_6,119119,193196,282282,299301,352352,385385,082082,105108,177177,372372,092092,121127,201201,266268,346346,145148,192194,288288,341358
G0_1PL_2_7,119119,193196,279279,301301,352358,385385,082082,105108,177177,372372,090092,127127,201201,268268,346346,148148,194194,288288,341358
G0_1PL_2_8,119119,193196,279282,301301,352352,385385,079079,105108,177177,369372,090092,127127,201201,266266,367367,148148,192194,275288,341358
G0_1PL_2_9,119119,193196,279279,299299,352352,385385,082082,108108,177177,372372,090092,121127,201201,268268,367367,145145,192192,275288,358358
G0_1PL_3_1,119119,196196,282282,299301,352352,385385,082082,105108,177177,369372,090092,127127,201201,268268,360360,145148,192194,288288,341341
G0_1PL_3_10,119119,196196,279279,299301,352358,385385,073079,000000,177177,372372,090092,127127,201201,266268,346346,148148,194194,288288,358358
G0_1PL_3_11,119119,196196,279279,301301,352358,385385,073079,000000,177177,372372,090090,127127,201201,268268,346346,145148,190194,275288,341358
G0_1PL_3_12,119119,196196,279282,299301,352358,385385,082082,108108,177177,372372,092092,121127,201201,266268,346346,148148,194194,275288,341341
G0_1PL_3_13,119119,196196,279282,299301,352358,385385,073079,000000,177177,372372,090092,127127,201201,266268,346346,148148,190192,275288,341341
G0_1PL_3_14,119119,193196,279279,301301,352358,385385,082082,108111,177177,372372,092092,127127,201201,268268,367367,148148,194194,288288,341358
G0_1PL_3_15,119119,196196,279282,301301,352358,385385,073079,000000,177177,372372,090090,121127,201201,268268,360360,148148,194194,275275,341358
G0_1PL_3_16,119119,196196,279282,301301,352352,385385,082082,105108,177177,372372,092092,121127,201201,266266,346346,145145,192194,275288,341358
G0_1PL_3_17,119119,193196,279282,299301,352352,385385,073079,000000,177177,369372,090092,121121,201201,266268,367367,145148,190192,288288,341358
G0_1PL_3_18,119119,196196,279282,299301,352358,385385,082082,105108,177177,372372,092092,121127,201201,268268,346346,145148,192194,275288,358358
G0_1PL_3_2,119119,193196,282282,301301,352352,385385,082082,105108,177177,369369,090092,121121,201201,266268,367367,145148,192194,275288,341341
G0_1PL_3_3,119119,193196,282282,299301,352360,385385,082082,105108,177177,369372,090092,121127,201201,266268,360367,145148,192194,288288,358358
G0_1PL_3_4,119119,196196,279282,301301,352358,385385,073079,000000,177177,372372,090090,121121,201201,268268,346346,145145,192192,275288,358358
G0_1PL_3_5,119119,196196,279282,299301,360360,385385,073079,108111,177177,369372,090092,121127,201201,268268,346346,145145,192194,288288,341358
G0_1PL_3_6,119119,196196,279279,299301,352352,385385,073079,000000,177177,372372,090092,127127,201201,268268,360367,145148,194194,275288,341358
G0_1PL_3_7,119119,196196,279279,299301,358358,385385,082082,108111,177177,372372,090092,127127,201201,266268,346346,148148,190194,275275,341341
G0_1PL_3_8,119119,193196,282282,299301,352352,385385,073079,000000,177177,369372,092092,121127,201201,266266,367367,148148,192192,275288,341358
G0_1PL_3_9,119119,196196,282282,299301,352360,385385,073079,105108,177177,369369,092092,121127,201201,266266,346346,148148,192192,288288,358358
G0_1PL_5_1,119119,193196,282282,299299,352352,385385,082082,108111,177177,369372,092092,121127,201201,266268,367367,145145,194194,275275,358358
G0_1PL_5_10,119119,193196,279282,301301,352352,385385,073079,105108,177177,369372,092092,127127,201201,268268,367367,145148,192194,275275,341358
G0_1PL_5_11,119119,196196,279279,299299,352358,385385,073079,000000,177177,372372,092092,121127,201201,266268,346346,148148,190192,275288,358358
G0_1PL_5_12,119119,196196,279279,299301,352358,385385,073079,000000,177177,369372,092092,121127,201201,266268,346346,148148,190192,275288,358358
G0_1PL_5_13,119119,193196,279282,299301,358360,385385,082082,108111,177177,369372,090092,121127,201201,266268,367367,145145,194194,275288,358358
G0_1PL_5_14,119119,193196,279282,301301,352360,385385,082082,108111,177177,372372,092092,127127,201201,268268,360360,145148,192192,275288,341341
G0_1PL_5_15,119119,196196,279282,301301,352358,385385,000000,108111,177177,369372,090092,121127,201201,266268,367367,145148,190194,275275,358358
G0_1PL_5_16,119119,196196,279282,299301,352352,385385,000000,000000,177177,369372,092092,121127,201201,268268,367367,145148,194194,288288,358358
G0_1PL_5_17,119119,193193,279282,301301,352352,385385,082082,108108,177177,372372,090090,121127,201201,268268,346346,145145,190194,275288,341341
G0_1PL_5_18,119119,193196,282282,301301,352360,385385,082082,108108,177177,369369,092092,121127,201201,266268,367367,145145,194194,288288,358358
G0_1PL_5_2,119119,196196,279282,299301,352352,385385,073079,105108,177177,369372,092092,121121,201201,268268,346346,145148,192194,275288,341358
G0_1PL_5_3,119119,196196,282282,299301,352358,385385,079079,105108,177177,369372,090092,121127,201201,266268,346346,145148,192194,275288,341358
G0_1PL_5_4,119119,196196,279279,299301,352358,385385,073079,000000,177177,372372,092092,121127,201201,266268,346346,148148,190194,275288,341358
G0_1PL_5_5,119119,193196,279282,299301,352352,385385,079079,000000,177177,372372,090090,121127,201201,268268,360367,145145,190194,275275,358358
G0_1PL_5_6,119119,196196,279282,299301,352352,385385,082082,105108,177177,369372,090092,127127,201201,266268,346346,145148,194194,275288,341358
G0_1PL_5_7,119119,196196,282282,301301,352360,385385,082082,105108,177177,369369,092092,127127,201201,266268,346346,145148,194194,288288,358358
G0_1PL_5_8,119119,196196,279282,301301,352352,385385,073079,108111,177177,372372,090092,127127,201201,268268,346346,145148,194194,275288,341358
G0_1PL_5_9,119119,196196,279282,299299,352352,385385,073079,105108,177177,369372,092092,127127,201201,266268,346346,145148,194194,275288,341358
G0_1PS_1_1,119119,196196,279279,299301,352352,385385,082082,108111,177177,372372,090092,121127,201201,268268,367367,145148,192194,288288,358358
G0_1PS_1_10,119119,196196,279282,299301,352352,385385,082082,105108,177177,372372,092092,121127,201201,268268,367367,145148,192194,275288,358358
G0_1PS_1_11,119119,196196,279279,301301,352358,385385,082082,108108,177177,372372,090090,121127,201201,268268,346346,145148,192192,288288,341341
G0_1PS_1_2,119119,196196,279279,301301,352352,385385,082082,108108,177177,372372,090092,121127,201201,266268,346346,145148,192194,288288,358358
G0_1PS_1_3,119119,193193,279282,299301,352358,385385,082082,108108,177177,369372,090090,127127,201201,268268,367367,145148,194194,288288,358358
G0_1PS_1_4,119119,196196,279279,301301,352358,385385,082082,108111,177177,372372,090092,121127,201201,266268,346346,145145,192192,275288,341358
G0_1PS_1_5,119119,196196,279282,299301,352352,385385,082082,105108,177177,372372,092092,127127,201201,266268,360360,148148,192194,275288,341358
G0_1PS_1_6,119119,193193,279279,299301,352352,385385,073079,105108,177177,372372,090092,121121,201201,266268,367367,145148,192192,288288,358358
G0_1PS_1_7,119119,193196,279279,299299,352352,385385,073079,105108,177177,372372,092092,121127,201201,266268,367367,148148,194194,288288,341358
G0_1PS_1_8,119119,193193,279282,301301,352352,385385,073079,000000,177177,369372,090092,121127,201201,266268,367367,148148,190194,275288,341358
G0_1PS_1_9,119119,193196,279279,301301,352352,385385,073079,105108,177177,372372,090092,121121,201201,266268,367367,148148,192194,288288,341341
G0_1PS_3_1,119119,196196,279282,299301,352358,385385,073079,105108,177177,369372,090092,127127,201201,266268,346346,145148,194194,275275,358358
G0_1PS_3_10,119119,196196,279282,299301,352358,385385,082082,108111,177177,369372,092092,127127,201201,266266,367367,145148,194194,288288,358358
G0_1PS_3_11,119119,196196,282282,301301,352352,385385,082082,105108,177177,369369,090090,127127,201201,268268,346346,145145,192194,288288,358358
G0_1PS_3_12,119119,196196,279282,299301,352358,385385,082082,108111,177177,369372,092092,127127,201201,266266,346346,148148,192192,288288,358358
G0_1PS_3_13,119119,193196,279282,299301,352352,385385,082082,108111,177177,372372,090092,121121,201201,268268,367367,145145,190192,288288,341358
